Family,GTDB_Domain,NCBI_Domain,Database_Presence,Match_Status,Anchor_Type,GTDB_Genome_Count,GTDB_Species_Count,NCBI_Genome_Count,NCBI_Species_Count
Geopsychrobacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,60,9,64,9
Geothermobacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,5,3,7,4
Gloeobacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,6,3,5,5
Gloeomargaritaceae,Bacteria,Bacteria,Both,Match,Direct_Name,12,2,28,28
Gomphosphaeriaceae,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Gottschalkiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,5,3,6,5
Govaniaceae,Bacteria,Bacteria,Both,Match,Direct_Name,4,3,1,1
Granulosicoccaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,80,10,154,8
Haladaptataceae,Archaea,Archaea,Both,Match,Direct_Name,38,2,54,46
Halalkalicoccaceae,Archaea,Archaea,Both,Match,Direct_Name,10,2,1,1
Halanaerobiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,37,3,121,21
Halarsenatibacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,17,3,3,3
Halieaceae,Bacteria,Bacteria,Both,Match,Direct_Name,374,22,963,80
Haliovirgaceae,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Haloarculaceae,Archaea,Archaea,Both,Match,Direct_Name,224,21,329,164
Halobacteriaceae,Archaea,Archaea,Both,Match,Direct_Name,65,7,144,46
Halobacteroidaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,10,5,31,20
Halococcaceae,Archaea,Archaea,Both,Match,Direct_Name,20,1,35,24
Haloferacaceae,Archaea,Archaea,Both,Match,Direct_Name,336,26,503,273
Halomonadaceae,Bacteria,Bacteria,Both,Match,Direct_Name,688,24,998,459
Haloplasmataceae,Bacteria,Bacteria,Both,Match,Direct_Name,8,4,12,5
Halorutilaceae,Archaea,Archaea,Both,Match,Direct_Name,5,2,1,1
Halothecacae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,32,4,12,6
Halothermotrichaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1,1,8,6
Halothiobacillaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,55,5,87,22
Helicobacteraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,3795,15,8092,106
Heliobacteriaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,12,5,31,13
Herpetosiphonaceae,Bacteria,Bacteria,Both,Match,Direct_Name,9,4,27,8
Hippeaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,28,4,17,6
Holophagaceae,Bacteria,Bacteria,Both,Match,Direct_Name,245,8,361,32
Holosporaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,12,5,80,18
Hujiaoplasmataceae,Bacteria,Bacteria,Both,Match,Direct_Name,55,0,1,1
Hydrogenimonadaceae,Bacteria,Bacteria,Both,Match,Direct_Name,28,1,19,5
Hydrogenothermaceae,Bacteria,Bacteria,Both,Match,Direct_Name,57,9,100,15
Hymenobacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,252,8,362,235
Hyphomicrobiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,174,25,760,78
Hyphomonadaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,218,10,605,99
Iamiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,26,12,65,14
Ichthyobacteriaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1,1,6,2
Ignatzschineriaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,63,5,72,17
Ignavibacteriaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,251,34,373,5
Ilumatobacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,597,29,851,12
Immundisolibacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,11,2,26,3
Inquilinaceae,Bacteria,Bacteria,Both,Match,Direct_Name,18,10,5,1
Isosphaeraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,90,23,213,23
Jatrophihabitantaceae,Bacteria,Bacteria,Both,Match,Direct_Name,30,13,99,9
Jiangellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,28,6,53,21
Kaistiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,36,8,92,23
Kallotenuaceae,Bacteria,Bacteria,Both,Match,Direct_Name,15,3,2,2
Kangiellaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,51,7,84,18
Ketobacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,36,5,15,6
Kiloniellaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,26,6,94,15
Kineosporiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,19,7,103,57
Kiritimatiellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,15,4
Kofleriaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,62,10,167,6
Koleobacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,5,2,1,1
Kordiimonadaceae,Bacteria,Bacteria,Both,Match,Direct_Name,42,6,83,22
Kosmotogaceae,Bacteria,Bacteria,Both,Match,Direct_Name,94,5,131,32
Kribbellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,39,1,135,100
Ktedonobacteraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,55,17,171,15
Lachnospiraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,35105,347,42345,1444
Lacipirellulaceae,Bacteria,Bacteria,Both,Match,Direct_Name,54,15,54,20
Lactobacillaceae,Bacteria,Bacteria,Both,Match,Direct_Name,11685,40,16494,712
Leeiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,5,4
Legionellaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1421,32,8495,100
Lentimicrobiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,48,1,176,7
Lentisphaeraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,7,3,95,9
Leptolyngbyaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,67,18,212,148
Leptonemataceae,Bacteria,Bacteria,Both,Match,Direct_Name,45,15,4,1
Leptospiraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,956,11,1210,110
Leptotrichiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,141,13,330,46
Limisphaeraceae,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,5,2
Limnochordaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,5,1,7,3
Listeriaceae,Bacteria,Bacteria,Both,Match,Direct_Name,5500,3,68449,44
Litorivicinaceae,Bacteria,Bacteria,Both,Match,Direct_Name,86,2,66,4
Longimicrobiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,17,10,82,3
Luteibaculaceae,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,5,3
Lutisporaceae,Bacteria,Bacteria,Both,Match,Direct_Name,32,7,8,3
Lysobacteraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,4639,53,9860,829
Magnetococcaceae,Bacteria,Bacteria,Both,Match,Direct_Name,2,2,13,13
Magnetospirillaceae,Bacteria,Bacteria,Both,Match,Direct_Name,96,18,11,6
Magnetovibrionaceae,Bacteria,Bacteria,Both,Match,Direct_Name,18,5,32,5
Maliibacteriaceae,Bacteria,Bacteria,Both,Match,Direct_Name,7,2,1,1
Maricaulaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,208,18,176,49
Marinicellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,36,3,1,1
Marinifilaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1563,14,79,26
Marinilabiliaceae,Bacteria,Bacteria,Both,Match,Direct_Name,127,20,142,51
Mariprofundaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,110,13,101,15
Melioribacteraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,163,40,189,18
Mesoaciditogaceae,Bacteria,Bacteria,Both,Match,Direct_Name,22,4,35,6
Metamycoplasmataceae,Bacteria,Bacteria,Both,Match,Direct_Name,956,16,1524,81
Methanobacteriaceae,Archaea,Archaea,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,701,23,1214,178
Methanocaldococcaceae,Archaea,Archaea,Both,Match,Direct_Name,18,2,25,12
Methanocellaceae,Archaea,Archaea,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,8,3,26,11
Methanococcaceae,Archaea,Archaea,Both,Match,Direct_Name,53,5,64,16
Methanocorpusculaceae,Archaea,Archaea,Both,Match,Direct_Name,152,2,232,23
Methanomassiliicoccaceae,Archaea,Archaea,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,47,4,246,83
Methanomethylophilaceae,Archaea,Archaea,Both,Match,Direct_Name,304,16,342,9
Methanomicrobiaceae,Archaea,Archaea,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,35,7,258,84
Methanonatronarchaeaceae,Archaea,Archaea,Both,Match,Direct_Name,7,3,4,4
Methanopyraceae,Archaea,Archaea,Both,Match,Direct_Name,9,1,4,3
Methanosarcinaceae,Archaea,Archaea,Both,Match,Direct_Name,307,14,443,135
Methanospirillaceae,Archaea,Archaea,Both,Match,Direct_Name,192,17,58,9
Methanothermaceae,Archaea,Archaea,Both,Match,Direct_Name,1,1,1,1
Methanotrichaceae,Archaea,Archaea,Both,Match,Direct_Name,150,11,365,36
Methermicoccaceae,Archaea,Archaea,Both,Match,Direct_Name,9,2,3,2
Methylacidiphilaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,26,3,24,10
Methylococcaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,112,14,1004,140
Methyloligellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,57,8,5,1
Methylophagaceae,Bacteria,Bacteria,Both,Match,Direct_Name,132,4,10,1
Methylophilaceae,Bacteria,Bacteria,Both,Match,Direct_Name,641,24,1153,91
Methylopilaceae,Bacteria,Bacteria,Both,Match,Direct_Name,29,5,24,16
Methylothermaceae,Bacteria,Bacteria,Both,Match,Direct_Name,13,1,20,6
Microbacteriaceae,Bacteria,Bacteria,Both,Match,Direct_Name,2688,84,4395,1834
Micrococcaceae,Bacteria,Bacteria,Both,Match,Direct_Name,1595,37,2923,1061
Microcoleaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,257,11,568,413
Microcystaceae,Bacteria,Bacteria,Both,Match,Direct_Name,421,12,498,168
Micromonosporaceae,Bacteria,Bacteria,Both,Match,Direct_Name,598,42,1426,819
Micropepsaceae,Bacteria,Bacteria,Both,Match,Direct_Name,209,7,208,5
Microscillaceae,Bacteria,Bacteria,Both,Match,Direct_Name,21,11,12,6
Microthrixaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,133,21,371,78
Miltoncostaeaceae,Bacteria,Bacteria,Both,Match,Direct_Name,78,12,169,4
Minwuiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,16,3,15,7
Monoglobaceae,Bacteria,Bacteria,Both,Match,Direct_Name,132,12,40,4
Moorellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,44,7,48,16
Moraxellaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,12327,22,45481,1177
Moritellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,33,1,38,14
Motilibacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,5,3,6,6
Mucispirillaceae,Bacteria,Bacteria,Both,Match,Direct_Name,566,3,854,5
Muribaculaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,24600,32,23988,64
Mycobacteriaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,15323,29,14439,605
Mycoplasmataceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,241,11,569,142
Mycoplasmoidaceae,Bacteria,Bacteria,Both,Match,Direct_Name,600,12,589,29
Myxococcaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,212,30,306,104
Nakamurellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,24,1,55,17
Nannocystaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,48,14,100,18
Nanoarchaeaceae,Archaea,Archaea,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1,1,2,2
Natranaerobiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,2,2,3,2
Natranaerofabaceae,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Natrialbaceae,Archaea,Archaea,Both,Match,Direct_Name,166,30,199,145
Natronincolaceae,Bacteria,Bacteria,Both,Match,Direct_Name,32,15,32,21
Natronoarchaeaceae,Archaea,Archaea,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,4,1,31,19
Natronospiraceae,Bacteria,Bacteria,Both,Match,Direct_Name,6,0,7,5
Natronospirillaceae,Bacteria,Bacteria,Both,Match,Direct_Name,34,9,5,2
Nautiliaceae,Bacteria,Bacteria,Both,Match,Direct_Name,39,5,63,13
Neisseriaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,4428,24,58488,225
Neosynechococcaceae,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Nevskiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,82,15,195,41
Nitratiruptoraceae,Bacteria,Bacteria,Both,Match,Direct_Name,35,3,40,13
Nitriliruptoraceae,Bacteria,Bacteria,Both,Match,Direct_Name,70,13,116,5
Nitrosomonadaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,290,5,536,63
Nitrosopumilaceae,Archaea,Archaea,Both,Match,Direct_Name,617,22,927,51
Nitrososphaeraceae,Archaea,Archaea,Both,Match,Direct_Name,167,13,709,28
Nitrospinaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,24,4,279,20
Nitrospiraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,365,18,1343,96
Nocardioidaceae,Bacteria,Bacteria,Both,Match,Direct_Name,540,27,1251,413
Nostocaceae,Bacteria,Bacteria,Both,Match,Direct_Name,590,57,453,234
Oceanibaculaceae,Bacteria,Bacteria,Both,Match,Direct_Name,10,1,11,4
Oceanipulchritudinaceae,Bacteria,Bacteria,Both,Match,Direct_Name,21,9,7,2
Oceanococcaceae,Bacteria,Bacteria,Both,Match,Direct_Name,5,2,51,8
Oceanospirillaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,136,11,974,279
Odoribacteraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,27,2,1906,43
Oleiphilaceae,Bacteria,Bacteria,Both,Match,Direct_Name,393,19,71,32
Oligoflexaceae,Bacteria,Bacteria,Both,Match,Direct_Name,13,5,15,4
Oligosphaeraceae,Bacteria,Bacteria,Both,Match,Direct_Name,80,15,3,2
Opitutaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,709,42,705,50
Oscillatoriaceae,Bacteria,Bacteria,Both,Match,Direct_Name,10,4,85,67
Oscillospiraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,7861,118,23787,1040
Ostreibacteriaceae,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Paenibacillaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,982,18,2609,1127
Paludibacteraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,994,33,927,23
Parachlamydiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,61,30,61,20
Paracoccaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,4590,408,4436,881
Parvibaculaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,73,5,228,20
Parvicellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,82,11,12,3
Parvularculaceae,Bacteria,Bacteria,Both,Match,Direct_Name,82,13,149,27
Pasteurellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,3117,46,9033,207
Peptococcaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,173,8,585,75
Peptoniphilaceae,Bacteria,Bacteria,Both,Match,Direct_Name,558,50,829,152
Peptostreptococcaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,3563,23,23344,132
Petrotogaceae,Bacteria,Bacteria,Both,Match,Direct_Name,55,9,93,42
Phototrophicaceae,Bacteria,Bacteria,Both,Match,Direct_Name,197,24,50,2
Phreatobacteraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,16,1,22,8
Phycisphaeraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,65,34,374,18
Pirellulaceae,Bacteria,Bacteria,Both,Match,Direct_Name,398,74,928,95
Piscirickettsiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,90,1,511,133
Planctomycetaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,339,59,1735,90
Pleomorphomonadaceae,Bacteria,Bacteria,Both,Match,Direct_Name,28,8,27,20
Polyangiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,199,57,463,30
Pontiellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,38,4,47,8
Porphyromonadaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,383,2,3747,237
Porticoccaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,365,17,569,42
Prevotellaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,59,1,10599,452
Prochloraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,4,1,18,7
Prochlorococcaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,1427,60,1700,883
Prochlorotrichaceae,Bacteria,Bacteria,Both,Match,Direct_Name,11,3,8,5
Prolixibacteraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,279,20,587,53
Promethearchaeaceae,Archaea,Archaea,Both,Match,Accession_Mapped_GTDB_to_NCBI,13,5,10,5
Propionibacteriaceae,Bacteria,Bacteria,Both,Match,Direct_Name,1106,43,3080,183
Proteinivoraceae,Bacteria,Bacteria,Both,Match,Direct_Name,3,2,7,7
Pseudanabaenaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,83,8,241,91
Pseudobacteriovoracaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,33,5,11,2
Pseudobdellovibrionaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,220,45,631,101
Pseudohongiellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,440,8,156,9
Pseudomonadaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,17078,18,52709,3102
Pseudonocardiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,595,47,1124,646
Psittacicellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,6,4
Psychromonadaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,32,2,71,35
Pumilibacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,679,19,7,4
Puniceicoccaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,3,1,127,10
Pyrinomonadaceae,Bacteria,Bacteria,Both,Match,Direct_Name,219,31,741,6
Pyrodictiaceae,Archaea,Archaea,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,26,10,69,11
Rectinemataceae,Bacteria,Bacteria,Both,Match,Direct_Name,121,14,79,3
Reichenbachiellaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,32,3,179,22
Reyranellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,120,6,115,9
Rhizobiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,6932,125,4389,936
Rhodanobacteraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,439,25,803,220
Rhodobiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,6,1,228,22
Rhodocyclaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1043,75,591,64
Rhodocytophagaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,12,3,7,4
Rhodospirillaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,134,25,1109,128
Rhodothalassiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,18,5,7,2
Rhodothermaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,16,1,81,12
Rhodovibrionaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,9,5,54,26
Rickettsiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,299,24,578,147
Rikenellaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,6028,23,9612,118
Roseiflexaceae,Bacteria,Bacteria,Both,Match,Direct_Name,66,12,116,13
Roseiterribacteraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,6,3,1,1
Rubricoccaceae,Bacteria,Bacteria,Both,Match,Direct_Name,14,4,47,10
Rubrobacteraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,71,13,191,14
Saccharofermentanaceae,Bacteria,Bacteria,Both,Match,Direct_Name,288,5,6,2
Saccharospirillaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,14,1,79,26
Salibacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,99,15,41,3
Salinibacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,162,9,296,12
Salinicoccaceae,Bacteria,Bacteria,Both,Match,Direct_Name,79,5,10,4
Salinisphaeraceae,Bacteria,Bacteria,Both,Match,Direct_Name,20,3,48,25
Salinivirgaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,8,2,36,3
Salisaetaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,3,1,6,5
Sandaracinaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,12,7,85,6
Sanyastnellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,286,0,1,1
Saprospiraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,856,123,1441,36
Schleiferiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,355,16,302,5
Sedimenticolaceae,Bacteria,Bacteria,Both,Match,Direct_Name,468,37,869,66
Sedimentisphaeraceae,Bacteria,Bacteria,Both,Match,Direct_Name,7,3,6,5
Sediminispirochaetaceae,Bacteria,Bacteria,Both,Match,Direct_Name,7,2,1,1
